戈妮娅 | 戈尼亚 | gonia
多罗西 | 多萝西 | dorothy
斯陶布 | 斯托布 | staub
斯塔宾 | 斯图宾 | stubbing
奥尔弗森 | 阿尔弗森 | alverson
索洛蒂斯 | 索尔特斯 | solotesz
内赫特 | 纳赫特 | nacht
德马托 | 德马尔托 | desmarteau
特里索韦 | 特雷撒韦 | trethaway
谢尔普 | 谢普 | shairp
伯泽尔 | 伯塞尔 | birdsell
索恩代克 | 桑代克 | thorndike
马沙姆 | 马香 | marsham
奥伯赫尔曼 | 奥伯黑尔曼 | oberhelman
多内休 | 多尼休 | donehue
赫内利 | 亨内利 | hennelly
帕特里亚赫 | 佩特里亚克 | patriach
莱斯 | 莱什 | leisz
海内曼 | 海涅曼 | heinemann
里查兹 | 理查兹 | richards
艾奇森 | 艾奇逊 | eytchison
丹罗伊瑟 | 丹罗伊特 | dannreuther
法斯尔 | 法塞尔 | fascell
巴恩比 | 巴恩贝 | barnebey
梅林达 | 梅琳达 | melinda
弗伦泽 | 弗伦策 | frenzer
康西尔 | 康斯尔 | council
海因鲍姆 | 欣鲍姆 | sheinbaum
费布里克 | 法布里克 | fabrick
沃拉尼厄斯 | 瓦拉尼厄斯 | waranius
哈默特 | 赫默特 | hummert
迈西 | 梅西 | meysey
雷津 | 拉津 | razeen
古夫 | 高夫 | gough
巴塔格尔 | 巴塔杰尔 | battagel
埃韦克 | 埃厄克 | earwaker
格林达尔 | 格林德尔 | grindal
塞弗林豪斯 | 塞夫林豪斯 | sevringhaus
贾科特特 | 贾科泰 | jacottet
布里利 | 布里厄利 | brealey
麦科尚纳格 | 麦科尚奈格 | maco'shannaig
麦克廷格 | 马赫廷格 | machtinger
梅贝 | 梅布 | mabe
康杰 | 康格 | conger
卡特塞尔 | 卡瑟尔 | cuthell
迪尤斯 | 德威斯 | dewees
基茨哈伯 | 基察伯 | kitzhaber
布雷齐尔 | 布雷热 | brazier
芬尼 | 菲尼 | phinney
里维特 | 里韦特 | rivet
奥尔迪 | 阿尔迪 | alday
阿曼杜斯 | 阿曼达斯 | amandus
西纳 | 西纳尔 | synar
康科拉尔 | 康科勒 | concholar
卢娜 | 卢纳 | luna
杜纳利 | 达纳利 | dunalley
默茨基 | 默茨克 | mertzke
塞法蒂 | 瑟法蒂 | serfaty
肖伊勒 | 朔伊勒 | scheuler
特鲁曼 | 杜鲁门 | truman
迪奥 | 德奥 | deo
拉思 | 雷思 | rathe
哈尔巴克 | 哈尔巴赫 | halbach
拉特 | 鲁尔特 | rurt
赫利 | 赫尔利 | hurleigh
克罗嫩贝格 | 克罗嫩伯格 | kronenberg
克里奇顿 | 克赖顿 | crichton
格温妮德 | 格威内思 | gwynedd
沃姆尔多夫 | 沃梅尔多夫 | womeldorph
鲍希 | 布谢 | bouchey
波威尔斯 | 鲍威尔斯 | powels
罗雷姆 | 罗勒姆 | rorem
沃蒂埃 | 沃捷 | vautier
安德里欧 | 安德里厄 | andrieux
阿莱恩 | 阿林 | alleine
贝克 | 贝克尔 | becker
纳奇马诺夫 | 纳赫马诺夫 | nachmanoff
怀索基 | 维索茨基 | wysocki
比弗 | 贝弗 | bever
斯莫尔佩斯 | 斯莫尔皮斯 | smallpeice
里夫尔 | 里弗尔 | riffle
唐西娅 | 唐西亚 | donsia
杜克罗 | 迪克罗 | ducrow
沃尔克 | 沃克 | walk
沃尔克 | 沃克 | walker
麦迪森 | 麦迪逊 | madison
麦科拉姆 | 麦科勒姆 | mccollam
斯坦达洛夫特 | 斯坦德洛夫特 | standaloft
德沃查克 | 德沃夏克 | dvorchak
费布里坎特 | 法布里坎特 | fabricant
科赫伦 | 库格伦 | coughran
多克特 | 多克托 | docktor
法莱恩 | 法林 | filene
卢尔 | 勒尔 | lull
菲内尔 | 芬内尔 | feennell
皮克普 | 皮卡普 | pickup
塞门扎 | 西门扎 | semenza
哈森富斯 | 哈森弗斯 | hasenfus
加托夫 | 加特霍夫 | garthoff
阿夫雷特 | 阿夫里特 | avrett
彼得龙 | 佩特龙 | petrone
格里桑蒂 | 格里桑迪 | grisanti
梅尔斯 | 马雷斯 | mares
庞滕尼 | 庞特尼 | pounteney
安奈琳 | 阿内林 | aneirin
高利 | 高恩利 | gownley
劳本盖尔 | 劳本盖耶 | laubengayer
阿图鲁斯 | 阿图罗斯 | arturous
布兰肯巴克 | 布兰肯贝克 | blankenbaker
拉腊比 | 拉勒比 | larabee
埃斯坎达里安 | 伊斯坎达里安 | eskandarian
霍金 | 霍奇金 | hodgkin
盖格 | 盖杰 | gager
科尔奎特 | 科尔基特 | colquitt
达什曼 | 杜什曼 | dushman
雷兹通 | 雷德斯通 | redstone
伊德博尔德 | 埃德博尔德 | eadbald
贝松 | 贝森 | bessone
塞科夫斯基 | 赛科夫斯基 | saikowski
休伊代尔 | 舍代尔 | suirdale
哈莫尔 | 哈默 | hamor
普普 | 普珀 | puppe
施米德 | 施密德 | schmid
塔默格尔 | 塔穆格尔 | tarmugl
哈克威尔 | 黑克威尔 | hakewill
冈萨雷兹 | 冈萨雷斯 | gonzalez
莫纳 | 莫娜 | mona
格雷恩 | 格兰妮 | grainne
布拉德斯里特 | 布拉德斯特里特 | bradstreet
麦克斯蒂法恩 | 麦克斯蒂奥芬 | macstiofain
亚里莫维奇 | 雅里莫维奇 | yarymovych
登尼斯顿 | 丹尼斯顿 | denniston
塞尼奥尔 | 西尼尔 | senior
哈特齐德 | 哈齐德 | hartsid
博伊斯拉根 | 博勒根 | boisragon
里伯特 | 雷巴特 | rebut
索热 | 索热尔 | saussure
费里比 | 费尔比 | ferebee
科克森 | 考克森 | coxon
斯克鲁塔托 | 斯克鲁泰特 | scrutator
格里泽 | 格赖泽 | griser
阿尔贝克 | 奥尔贝克 | allbeck
许尔霍尔德 | 许霍尔茨 | schuerholz
肖克 | 肖基尔 | showkeir
威克泽 | 威克瑟 | wichser
科尔赫普 | 科尔黑普 | kohlhepp
杰里什 | 格里什 | gerrish
劳科 | 罗科 | ruocco
加诺尔 | 加诺 | ganor
鲍德施维勒 | 巴尔德施维勒 | baldeschwieler
斯洛尼姆 | 斯洛宁 | slonim
马撒 | 玛莎 | martha
鲍杜因 | 鲍德温 | bauduin
珀塞克 | 佩塞克 | perseck
维伦 | 瓦伊伦 | viron
皮尔森 | 皮尔逊 | pirsson
索尔茨 | 肖尔茨 | soults
奇瑟姆 | 奇塔姆 | cheatham
乔西亚斯 | 乔赛亚斯 | josias
埃夫瓦德 | 埃瓦德 | evvard
格鲁尔德 | 杰罗尔德 | gerould
杰格 | 耶格 | jaegher
加弗 | 盖弗 | gaver
瑟金 | 西尔金 | sirkin
康诺米 | 科诺米 | conomy
柯兰 | 柯伦 | curran
瓦伦朱拉 | 巴伦苏埃拉 | valenzuela
肖尔斯 | 肖沃斯 | showers
沃迪 | 韦迪 | wadey
阿格鲁 | 阿古 | agwu
弗拉克斯 | 弗勒克斯 | flux
林恩 | 林 | linn
德赖克 | 德里克 | driker
里查德 | 理查德 | richard
罗伯森 | 罗伯逊 | robertson
达肯 | 达坎 | dakan
利维克 | 莱夫奥克 | liveoak
普鲁斯曼 | 普拉斯曼 | prusman
基弗 | 凯弗 | keifer
吉安 | 吉亨 | gehan
施努克尼 | 施努克内 | schnukne
阿格尔 | 阿高尔 | argall
温纳斯特伦 | 温纳斯特鲁姆 | wennerstrum
利德克 | 利迪克 | luedecke
普吕内克 | 普伦尼克 | pluenneke
赫希特里特 | 赫什特里特 | hirschtritt
贝拉德 | 贝拉尔 | berard
怀格姆 | 威格姆 | wigham
麦吉恩蒂 | 麦金蒂 | mcguinty
皮珀 | 派珀 | piper
豪杰 | 豪格 | hauger
德沃尔金 | 德沃金 | dworkin
阿特尔西 | 阿特莱西 | attlesey
加格宾 | 加涅班 | gagnebin
阿克雷斯 | 阿克斯 | acres
霍 | 豪 | howe
赫维茨 | 赫威茨 | herwitz
克兰德 | 克兰 | kland
德雷斯克 | 德赖斯克 | dreiske
马马杜克 | 马默杜克 | marmaduke
普赖尔 | 普里尔 | preil
比勒姆 | 比鲁姆 | biroum
奎伦 | 奎林 | quillen
贝思 | 贝丝 | beth
拜霍尔特 | 伯霍尔特 | byrholdt
约赫 | 约埃 | yohe
恩格弗 | 恩弗 | engfer
亚特龙 | 亚特隆 | yatron
斯凯姆 | 斯基姆 | skym
格瓦托斯基 | 格瓦尔托夫斯基 | gewartowski
埃查德 | 伊查德 | eachard
布思利 | 布思莱 | buthlay
安杰莉娜 | 安杰利娜 | angelina
明希 | 明施 | minsch
布兰恩 | 布兰 | brann
普伦蒂 | 普朗蒂 | prunty
维西 | 维齐 | veysey
施塔尔 | 斯塔尔 | stahl
沃尔斯通尔斯托夫特 | 沃斯通克拉夫特 | wollstonecraft
奥卡恩 | 奥凯恩 | o'kane
阿曼 | 阿尔曼 | arman
贝德尔 | 比德尔 | bedel
阿德尼 | 埃德尼 | adney
莫利诺尔 | 莫勒瑙尔 | mollenauer
芬维西 | 芬韦西 | fenvessy
帕奇 | 帕克 | pach
盖尔德 | 格尔德 | gelder
贝尔基 | 贝尔克 | behlke
萨森 | 萨瑟恩 | southern
巴查尔 | 巴卡尔 | bachar
奥尔博 | 阿尔博 | allbaugh
加米特 | 加梅特 | gamet
德利乔治 | 德利乔治斯 | deligiorgis
加雷尔 | 加勒尔 | garel
奥尔 | 奥利 | ole
巴德温 | 布德温 | budwine
迪奥 | 戴奥 | dio
布罗尔施 | 布勒尔施 | broelsch
塞韦尔 | 萨维尔 | savele
莱维 | 利维 | levie
格龙基 | 格朗茨基 | groncki
加康 | 加肯 | garcon
德姆里奇 | 德姆里克 | daemmrich
肖尔德勒 | 斯科德勒 | scholderer
迪比 | 达比 | duby
贝尔比 | 比尔比 | beilby
纽尼梅克 | 努尼梅克 | nunemaker
阿尼斯 | 安妮斯 | anis
阿布林 | 埃布林 | ablin
班德 | 班德尔 | bander
罗索尔 | 罗塞尔 | rossall
埃奇逊 | 艾奇逊 | etcheson
福塞特 | 福西特 | fawssett
吉尔德福德 | 吉尔福德 | guildford
阿加斯 | 阿加丝 | agase
阿蒂耶 | 阿提耶 | atiyeh
伦芬特 | 朗方 | lenfant
尤弗罗辛 | 尤弗罗西尼 | euphrosyne
杰雷迈亚 | 杰里迈亚 | jeremiah
艾耶斯特 | 艾尔斯特 | ayerst
艾亚拉 | 阿亚拉 | ayala
佩特里兹 | 佩特里迪斯 | petrides
科德尔 | 科德 | corder
戴文 | 达文 | davern
罗莎妮 | 罗珊 | rozanne
洛格 | 洛奇 | lorge
豪希卡 | 豪施卡 | hauschka
埃莉娜 | 埃琳娜 | elena
杜尤 | 杜韦 | duwe
布雷德 | 布里德 | breder
利班 | 莱班 | leban
穆拉尔特 | 缪拉尔持 | muralt
萨洛梅 | 萨洛米 | salome
玛丽萨 | 马里萨 | marisa
肖纳 | 肖娜 | shauna
鲍尔廷豪斯 | 博尔廷豪斯 | boultinghouse
尤金尼亚 | 尤金妮亚 | eugenia
梅德瓦多斯基 | 梅德瓦多夫斯基 | medwadowski
希厄特 | 海厄特 | hieatt
费茨 | 菲茨 | fites
科格尔 | 科格德尔 | cogdell
特里布瓦瑟 | 特里布沃瑟 | triebwasser
惠契利夫 | 惠特克利夫 | whitchliffe
卡利斯尔 | 卡莱尔 | carlisle
怀森 | 威森 | wison
利蒂卡 | 莱蒂卡 | letica
德赫特 | 德克特 | dechert
德夫尼 | 迪夫尼 | deveney
海姆索思 | 海姆塞特 | heimsoth
弗德里 | 维德里 | verdery
希伯德 | 希巴德 | hibbard
盖斯特菲尔德 | 盖斯特费尔德 | geistfeld
塔利亚费罗 | 托利弗 | taliaferro
威尔怀德 | 威尔海德 | wilhide
莱塞特 | 莱西特 | lycett
莱贡 | 利根 | lygon
奥利克西维 | 奥莱克休 | oleksiw
阿莱斯 | 阿莱 | allez
卡德瓦拉迪 | 卡德瓦拉德 | cadwaladyr
萨尔温 | 西尔温 | sulwen
法迪安 | 法迪恩 | fadyean
德雷南 | 德雷宁 | drennen
德彻 | 德谢尔 | decher
特鲁齐 | 特拉齐 | truzzi
托里 | 托丽 | tori
卡里洛 | 卡里略 | carrillo
比比 | 毕比 | beeby
凯莉 | 卡利 | cali
波兰 | 波伦 | pollan
盖滕拜因 | 盖滕宾 | gaitenbein
